Feature,Pearson_r,Pearson_p,Spearman_r,Spearman_p,Abs_Pearson,Abs_Spearman,Quadratic_R2
Morgan_726,-0.20797266667762832,7.027007475172704e-74,-0.23224829737381408,3.6246400626730446e-92,0.20797266667762832,0.23224829737381408,0.043252630085003796
AUTOCORR2D_67,-0.20664904506489468,6.035409582230359e-73,-0.19561907761882716,2.0573882040609734e-65,0.20664904506489468,0.19561907761882716,0.049113698169296116
Morgan_723,-0.20501099382444923,8.463773033158772e-72,-0.16719778964762994,5.0000903297291396e-48,0.20501099382444923,0.16719778964762994,0.04202950758888846
AUTOCORR2D_166,-0.20466232051950356,1.4804986627878367e-71,-0.2905719788199224,1.828908487067074e-145,0.20466232051950356,0.2905719788199224,0.09507341632003763
AUTOCORR2D_89,-0.20436858405665265,2.3694240511052926e-71,-0.23656996990328388,1.1748627268339614e-95,0.20436858405665265,0.23656996990328388,0.046440354127546546
AUTOCORR2D_131,-0.20390030566732736,5.007038321963969e-71,-0.1955306967847769,2.3543967938168843e-65,0.20390030566732736,0.1955306967847769,0.059653683055938544
AUTOCORR2D_115,-0.2004422582309936,1.1863687231292667e-68,-0.19845616095716653,2.6199450404985713e-67,0.2004422582309936,0.19845616095716653,0.06427271673439106
Morgan_216,-0.1981111392263521,4.4700734583642356e-67,-0.1889300265695263,4.6306064332295366e-61,0.1981111392263521,0.1889300265695263,0.039248023485563
AUTOCORR2D_85,-0.19809723754716285,4.56724444349435e-67,-0.2697927310997265,6.538890045081471e-125,0.19809723754716285,0.2697927310997265,0.04541131773404228
AUTOCORR2D_152,0.19758054104028194,1.0145839449881635e-66,0.21842713782783874,1.745806021996002e-81,0.19758054104028194,0.21842713782783874,0.04597960351301378
AUTOCORR2D_99,-0.1970260728903668,2.383304303987541e-66,-0.18806136598475778,1.6556997366839483e-60,0.1970260728903668,0.18806136598475778,0.0582720057258036
AUTOCORR2D_49,-0.1955123273896375,2.4212973560772045e-65,-0.18849913379928615,8.718863068527843e-61,0.1955123273896375,0.18849913379928615,0.06311017496248761
AUTOCORR2D_158,-0.19544993107183428,2.663006777199407e-65,-0.29249136296676903,1.8762097785033222e-147,0.19544993107183428,0.29249136296676903,0.06892939631010031
AUTOCORR2D_174,-0.19412115725860174,2.004667579660509e-64,-0.3006972873140471,3.9309100324795767e-156,0.19412115725860174,0.3006972873140471,0.0762141256922263
AUTOCORR2D_66,-0.1927982128230596,1.4740189714104647e-63,-0.15709891488432146,1.5402766772921807e-42,0.1927982128230596,0.15709891488432146,0.0400363998474329
EState_VSA6,-0.1926941228510341,1.7234850544158474e-63,-0.14003779585012943,4.522197370511586e-34,0.1926941228510341,0.14003779585012943,0.038877449259432706
Morgan_807,0.18679349134218556,1.0513576678871315e-59,0.16949202135576924,2.5247105785883127e-49,0.18679349134218556,0.16949202135576924,0.03489180840780304
FractionCSP3,0.18589837880138954,3.846086729896708e-59,0.18933270988619674,2.5597803318186505e-61,0.18589837880138954,0.18933270988619674,0.04831563582848686
qed,0.18560084090880205,5.910354918346543e-59,0.059719849308848945,2.3567701206965937e-07,0.18560084090880205,0.059719849308848945,0.08680477265971254
fr_COO2,0.18436558959206595,3.490409145864039e-58,0.18926745057434555,2.8181404781967896e-61,0.18436558959206595,0.18926745057434555,0.03523230244056652
fr_COO,0.18386588003356075,7.133926872667264e-58,0.18868812746707164,6.606975709932835e-61,0.18386588003356075,0.18868812746707164,0.03503908088265717
